,aureg_18000
Metric,Value
Total,126
Any of the generated distractors matches with a gold one,18.25%
The correct answer is among generated distractors,2.38%
Any (but not all) generated distractors are the same,26.19%
All generated distractors are the same,5.56%
Any distractor is capitalized differently from the correct answer,8.73%
Any distractor contains repetitive words,0.0%
Any distractor is an empty string,0.0%
(A) Any distractor is in its own context,72.22%
(B) Any distractor is in any context from training data,51.59%
(C) Any distractor is a distractor from training data,37.3%
(A) and (B),41.27%
(A) and (C),30.95%
(A1) All distractors are in their own context,16.67%
(B1) All distractors are in any context from training data,22.22%
(C1) All distractors are distractors from training data,11.11%
(A1) and (B1),11.11%
(A1) and (C1),5.56%
Normalized conv. kernel (SO),0.38 +/- 0.39
Median normalized conv. kernel (SO),0.2
Mode normalized conv. kernel (SO),1.0 (18.34%)
"Normalized conv. kernel (SO, feats)",0.27 +/- 0.34
"Median normalized conv. kernel (SO, feats)",0.1
"Mode normalized conv. kernel (SO, feats)",1.0 (9.76%)
Distractor recall,9.02%
